Year,Year Code,County,County Code,Deaths,Population,Crude Rate
1999,1999,"Baldwin County, AL",01003,13,137555,Unreliable
1999,1999,"Jefferson County, AL",01073,42,662845,6.3
1999,1999,"Madison County, AL",01089,12,274692,Unreliable
1999,1999,"Mobile County, AL",01097,29,399323,7.3
1999,1999,"Montgomery County, AL",01101,12,223548,Unreliable
1999,1999,"Anchorage Borough, AK",02020,25,259348,9.6
1999,1999,"Fairbanks North Star Borough, AK",02090,10,83390,Unreliable
1999,1999,"Cochise County, AZ",04003,10,116530,Unreliable
1999,1999,"Coconino County, AZ",04005,11,115307,Unreliable
1999,1999,"Maricopa County, AZ",04013,329,3004985,10.9
1999,1999,"Navajo County, AZ",04017,12,96100,Unreliable
1999,1999,"Pima County, AZ",04019,139,828905,16.8
1999,1999,"Pinal County, AZ",04021,11,173364,Unreliable
1999,1999,"Yavapai County, AZ",04025,10,162943,Unreliable
1999,1999,"Yuma County, AZ",04027,10,155665,Unreliable
1999,1999,"Pulaski County, AR",05119,19,360312,Unreliable
1999,1999,"Alameda County, CA",06001,125,1427114,8.8
1999,1999,"Butte County, CA",06007,15,201282,Unreliable
1999,1999,"Contra Costa County, CA",06013,73,936983,7.8
1999,1999,"El Dorado County, CA",06017,17,154381,Unreliable
1999,1999,"Fresno County, CA",06019,60,789405,7.6
1999,1999,"Humboldt County, CA",06023,28,126676,22.1
1999,1999,"Imperial County, CA",06025,19,141056,Unreliable
1999,1999,"Kern County, CA",06029,84,655428,12.8
1999,1999,"Kings County, CA",06031,14,126402,Unreliable
1999,1999,"Lake County, CA",06033,10,57214,Unreliable
1999,1999,"Los Angeles County, CA",06037,806,9437290,8.5
1999,1999,"Madera County, CA",06039,11,121883,Unreliable
1999,1999,"Marin County, CA",06041,30,246269,12.2
1999,1999,"Mendocino County, CA",06045,15,85665,Unreliable
1999,1999,"Merced County, CA",06047,17,206734,Unreliable
1999,1999,"Monterey County, CA",06053,34,396267,8.6
1999,1999,"Nevada County, CA",06057,10,90899,Unreliable
1999,1999,"Orange County, CA",06059,224,2815933,8.0
1999,1999,"Placer County, CA",06061,15,240928,Unreliable
1999,1999,"Riverside County, CA",06065,148,1507912,9.8
1999,1999,"Sacramento County, CA",06067,111,1206659,9.2
1999,1999,"San Bernardino County, CA",06071,156,1681601,9.3
1999,1999,"San Diego County, CA",06073,271,2789593,9.7
1999,1999,"San Francisco County, CA",06075,178,774716,23.0
1999,1999,"San Joaquin County, CA",06077,66,552424,11.9
1999,1999,"San Luis Obispo County, CA",06079,29,243480,11.9
1999,1999,"San Mateo County, CA",06081,57,704538,8.1
1999,1999,"Santa Barbara County, CA",06083,40,396906,10.1
1999,1999,"Santa Clara County, CA",06085,77,1671498,4.6
1999,1999,"Santa Cruz County, CA",06087,27,253667,10.6
1999,1999,"Shasta County, CA",06089,30,161987,18.5
1999,1999,"Solano County, CA",06095,24,387657,6.2
1999,1999,"Sonoma County, CA",06097,45,453421,9.9
1999,1999,"Stanislaus County, CA",06099,57,438609,13.0
1999,1999,"Tehama County, CA",06103,10,55517,Unreliable
1999,1999,"Tulare County, CA",06107,39,364708,10.7
1999,1999,"Ventura County, CA",06111,63,743357,8.5
1999,1999,"Yuba County, CA",06115,14,59881,Unreliable
1999,1999,"Adams County, CO",08001,26,354146,7.3
1999,1999,"Arapahoe County, CO",08005,33,482262,6.8
1999,1999,"Boulder County, CO",08013,19,285901,Unreliable
1999,1999,"Denver County, CO",08031,106,548848,19.3
1999,1999,"El Paso County, CO",08041,69,509044,13.6
1999,1999,"Jefferson County, CO",08059,33,523325,6.3
1999,1999,"Larimer County, CO",08069,11,246884,Unreliable
1999,1999,"Pueblo County, CO",08101,15,140184,Unreliable
1999,1999,"Weld County, CO",08123,12,174342,Unreliable
1999,1999,"Fairfield County, CT",09001,66,877043,7.5
1999,1999,"Hartford County, CT",09003,95,853039,11.1
1999,1999,"Litchfield County, CT",09005,17,181328,Unreliable
1999,1999,"Middlesex County, CT",09007,11,153340,Unreliable
1999,1999,"New Haven County, CT",09009,95,820396,11.6
1999,1999,"New London County, CT",09011,21,257568,8.2
1999,1999,"Tolland County, CT",09013,10,134939,Unreliable
1999,1999,"Windham County, CT",09015,15,108748,Unreliable
1999,1999,"New Castle County, DE",10003,46,496079,9.3
1999,1999,"District of Columbia, DC",11001,55,570213,9.6
1999,1999,"Alachua County, FL",12001,13,215847,Unreliable
1999,1999,"Bay County, FL",12005,14,148149,Unreliable
1999,1999,"Brevard County, FL",12009,48,472138,10.2
1999,1999,"Broward County, FL",12011,95,1594130,6.0
1999,1999,"Clay County, FL",12019,11,138704,Unreliable
1999,1999,"Duval County, FL",12031,69,773150,8.9
1999,1999,"Escambia County, FL",12033,31,293956,10.5
1999,1999,"Hillsborough County, FL",12057,79,984930,8.0
1999,1999,"Lake County, FL",12069,10,205123,Unreliable
1999,1999,"Lee County, FL",12071,40,431981,9.3
1999,1999,"Leon County, FL",12073,14,235871,Unreliable
1999,1999,"Manatee County, FL",12081,15,259053,Unreliable
1999,1999,"Marion County, FL",12083,11,254964,Unreliable
