"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"White"	"2106-3"	21	149116	14.1
	"2006"	"2006"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"White"	"2106-3"	13	37568	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	19	273408	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	77	371236	20.7
	"2006"	"2006"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Black or African American"	"2054-5"	11	139764	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"White"	"2106-3"	32	252038	12.7
	"2006"	"2006"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"White"	"2106-3"	17	99565	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"White"	"2106-3"	11	68765	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"White"	"2106-3"	21	157354	13.3
	"2006"	"2006"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	23	124455	18.5
	"2006"	"2006"	"Alabama"	"01"	"Walker County, AL"	"01127"	"White"	"2106-3"	14	63503	Unreliable
	"2006"	"2006"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	28	206761	13.5
	"2006"	"2006"	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"White"	"2106-3"	11	46275	Unreliable
	"2006"	"2006"	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"White"	"2106-3"	12	70661	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"White"	"2106-3"	19	115077	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Gila County, AZ"	"04007"	"White"	"2106-3"	10	43993	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"American Indian or Alaska Native"	"1002-5"	13	95404	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	39	190660	20.5
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	546	3222564	16.9
	"2006"	"2006"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"White"	"2106-3"	23	185577	12.4
	"2006"	"2006"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Black or African American"	"2054-5"	16	38743	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"White"	"2106-3"	174	834649	20.8
	"2006"	"2006"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"White"	"2106-3"	25	232127	10.8
	"2006"	"2006"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	24	195813	12.3
	"2006"	"2006"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"White"	"2106-3"	13	171968	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Benton County, AR"	"05007"	"White"	"2106-3"	17	183687	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Boone County, AR"	"05009"	"White"	"2106-3"	11	35502	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Craighead County, AR"	"05031"	"White"	"2106-3"	13	78004	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Crawford County, AR"	"05033"	"White"	"2106-3"	10	55808	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	"White"	"2106-3"	11	90665	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Garland County, AR"	"05051"	"White"	"2106-3"	15	84769	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	11	129643	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"White"	"2106-3"	29	232701	12.5
	"2006"	"2006"	"Arkansas"	"05"	"Saline County, AR"	"05125"	"White"	"2106-3"	18	91494	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	"White"	"2106-3"	20	104950	19.1
	"2006"	"2006"	"Arkansas"	"05"	"Washington County, AR"	"05143"	"White"	"2106-3"	21	173871	12.1
	"2006"	"2006"	"California"	"06"	"Alameda County, CA"	"06001"	"Asian or Pacific Islander"	"A-PI"	13	393728	Unreliable
	"2006"	"2006"	"California"	"06"	"Alameda County, CA"	"06001"	"Black or African American"	"2054-5"	67	211313	31.7
	"2006"	"2006"	"California"	"06"	"Alameda County, CA"	"06001"	"White"	"2106-3"	107	821651	13.0
	"2006"	"2006"	"California"	"06"	"Amador County, CA"	"06005"	"White"	"2106-3"	10	35513	Unreliable
	"2006"	"2006"	"California"	"06"	"Butte County, CA"	"06007"	"White"	"2106-3"	70	196800	35.6
	"2006"	"2006"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Black or African American"	"2054-5"	19	104342	Unreliable
	"2006"	"2006"	"California"	"06"	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	58	732441	7.9
	"2006"	"2006"	"California"	"06"	"El Dorado County, CA"	"06017"	"White"	"2106-3"	34	165186	20.6
	"2006"	"2006"	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	96	712905	13.5
	"2006"	"2006"	"California"	"06"	"Humboldt County, CA"	"06023"	"White"	"2106-3"	43	117178	36.7
	"2006"	"2006"	"California"	"06"	"Imperial County, CA"	"06025"	"White"	"2106-3"	17	145277	Unreliable
	"2006"	"2006"	"California"	"06"	"Kern County, CA"	"06029"	"White"	"2106-3"	112	673025	16.6
	"2006"	"2006"	"California"	"06"	"Lake County, CA"	"06033"	"White"	"2106-3"	18	58694	Unreliable
	"2006"	"2006"	"California"	"06"	"Lassen County, CA"	"06035"	"White"	"2106-3"	13	29195	Unreliable
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Asian or Pacific Islander"	"A-PI"	24	1414439	1.7
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	128	985577	13.0
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	666	7196355	9.3
	"2006"	"2006"	"California"	"06"	"Madera County, CA"	"06039"	"White"	"2106-3"	11	127411	Unreliable
