"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"White"	"2106-3"	13	149116	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	38	371236	10.2
	"2006"	"2006"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"White"	"2106-3"	20	252038	7.9
	"2006"	"2006"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	12	206761	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"White"	"2106-3"	10	115077	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	277	3222564	8.6
	"2006"	"2006"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"White"	"2106-3"	10	185577	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Black or African American"	"2054-5"	11	38743	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"White"	"2106-3"	105	834649	12.6
	"2006"	"2006"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"White"	"2106-3"	13	232127	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	13	195813	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Benton County, AR"	"05007"	"White"	"2106-3"	10	183687	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Garland County, AR"	"05051"	"White"	"2106-3"	13	84769	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"White"	"2106-3"	16	232701	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Washington County, AR"	"05143"	"White"	"2106-3"	13	173871	Unreliable
	"2006"	"2006"	"California"	"06"	"Alameda County, CA"	"06001"	"White"	"2106-3"	15	821651	Unreliable
	"2006"	"2006"	"California"	"06"	"Butte County, CA"	"06007"	"White"	"2106-3"	20	196800	10.2
	"2006"	"2006"	"California"	"06"	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	28	732441	3.8
	"2006"	"2006"	"California"	"06"	"El Dorado County, CA"	"06017"	"White"	"2106-3"	12	165186	Unreliable
	"2006"	"2006"	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	54	712905	7.6
	"2006"	"2006"	"California"	"06"	"Humboldt County, CA"	"06023"	"White"	"2106-3"	22	117178	18.8
	"2006"	"2006"	"California"	"06"	"Imperial County, CA"	"06025"	"White"	"2106-3"	10	145277	Unreliable
	"2006"	"2006"	"California"	"06"	"Kern County, CA"	"06029"	"White"	"2106-3"	31	673025	4.6
	"2006"	"2006"	"California"	"06"	"Lake County, CA"	"06033"	"White"	"2106-3"	14	58694	Unreliable
	"2006"	"2006"	"California"	"06"	"Lassen County, CA"	"06035"	"White"	"2106-3"	11	29195	Unreliable
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	25	985577	2.5
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	224	7196355	3.1
	"2006"	"2006"	"California"	"06"	"Marin County, CA"	"06041"	"White"	"2106-3"	27	218242	12.4
	"2006"	"2006"	"California"	"06"	"Mendocino County, CA"	"06045"	"White"	"2106-3"	12	78952	Unreliable
