"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"White"	"2106-3"	12	149116	Unreliable
	"2006"	"2006"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	34	371236	9.2
	"2006"	"2006"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"White"	"2106-3"	19	252038	Unreliable
	"2006"	"2006"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	12	206761	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"White"	"2106-3"	10	115077	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	269	3222564	8.3
	"2006"	"2006"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"White"	"2106-3"	100	834649	12.0
	"2006"	"2006"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"White"	"2106-3"	13	232127	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	12	195813	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Garland County, AR"	"05051"	"White"	"2106-3"	13	84769	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"White"	"2106-3"	14	232701	Unreliable
	"2006"	"2006"	"Arkansas"	"05"	"Washington County, AR"	"05143"	"White"	"2106-3"	13	173871	Unreliable
	"2006"	"2006"	"California"	"06"	"Alameda County, CA"	"06001"	"White"	"2106-3"	14	821651	Unreliable
	"2006"	"2006"	"California"	"06"	"Butte County, CA"	"06007"	"White"	"2106-3"	19	196800	Unreliable
	"2006"	"2006"	"California"	"06"	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	28	732441	3.8
	"2006"	"2006"	"California"	"06"	"El Dorado County, CA"	"06017"	"White"	"2106-3"	12	165186	Unreliable
	"2006"	"2006"	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	53	712905	7.4
	"2006"	"2006"	"California"	"06"	"Humboldt County, CA"	"06023"	"White"	"2106-3"	21	117178	17.9
