Census Region,Census Division,State,County,fips
Northeast,New England,Connecticut,Fairfield County,9001
Northeast,New England,Connecticut,Hartford County,9003
Northeast,New England,Connecticut,Litchfield County,9005
Northeast,New England,Connecticut,Middlesex County,9007
Northeast,New England,Connecticut,New Haven County,9009
Northeast,New England,Connecticut,New London County,9011
Northeast,New England,Connecticut,Tolland County,9013
Northeast,New England,Connecticut,Windham County,9015
Northeast,New England,Maine,Androscoggin County,23001
Northeast,New England,Maine,Aroostook County,23003
Northeast,New England,Maine,Cumberland County,23005
Northeast,New England,Maine,Franklin County,23007
Northeast,New England,Maine,Hancock County,23009
Northeast,New England,Maine,Kennebec County,23011
Northeast,New England,Maine,Knox County,23013
Northeast,New England,Maine,Lincoln County,23015
Northeast,New England,Maine,Oxford County,23017
Northeast,New England,Maine,Penobscot County,23019
Northeast,New England,Maine,Piscataquis County,23021
Northeast,New England,Maine,Sagadahoc County,23023
Northeast,New England,Maine,Somerset County,23025
Northeast,New England,Maine,Waldo County,23027
Northeast,New England,Maine,Washington County,23029
Northeast,New England,Maine,York County,23031
Northeast,New England,Massachusetts,Barnstable County,25001
Northeast,New England,Massachusetts,Berkshire County,25003
Northeast,New England,Massachusetts,Bristol County,25005
Northeast,New England,Massachusetts,Dukes County,25007
Northeast,New England,Massachusetts,Essex County,25009
Northeast,New England,Massachusetts,Franklin County,25011
Northeast,New England,Massachusetts,Hampden County,25013
Northeast,New England,Massachusetts,Hampshire County,25015
Northeast,New England,Massachusetts,Middlesex County,25017
Northeast,New England,Massachusetts,Nantucket County,25019
Northeast,New England,Massachusetts,Norfolk County,25021
Northeast,New England,Massachusetts,Plymouth County,25023
Northeast,New England,Massachusetts,Suffolk County,25025
Northeast,New England,Massachusetts,Worcester County,25027
Northeast,New England,New Hampshire,Belknap County,33001
Northeast,New England,New Hampshire,Carroll County,33003
Northeast,New England,New Hampshire,Cheshire County,33005
Northeast,New England,New Hampshire,Coos County,33007
Northeast,New England,New Hampshire,Grafton County,33009
Northeast,New England,New Hampshire,Hillsborough County,33011
Northeast,New England,New Hampshire,Merrimack County,33013
Northeast,New England,New Hampshire,Rockingham County,33015
Northeast,New England,New Hampshire,Strafford County,33017
Northeast,New England,New Hampshire,Sullivan County,33019
Northeast,New England,Rhode Island,Bristol County,44001
Northeast,New England,Rhode Island,Kent County,44003
Northeast,New England,Rhode Island,Newport County,44005
Northeast,New England,Rhode Island,Providence County,44007
Northeast,New England,Rhode Island,Washington County,44009
Northeast,New England,Vermont,Addison County,50001
Northeast,New England,Vermont,Bennington County,50003
Northeast,New England,Vermont,Caledonia County,50005
Northeast,New England,Vermont,Chittenden County,50007
Northeast,New England,Vermont,Essex County,50009
Northeast,New England,Vermont,Franklin County,50011
Northeast,New England,Vermont,Grand Isle County,50013
Northeast,New England,Vermont,Lamoille County,50015
Northeast,New England,Vermont,Orange County,50017
Northeast,New England,Vermont,Orleans County,50019
Northeast,New England,Vermont,Rutland County,50021
Northeast,New England,Vermont,Washington County,50023
Northeast,New England,Vermont,Windham County,50025
Northeast,New England,Vermont,Windsor County,50027
Northeast,Middle Atlantic,New Jersey,Atlantic County,34001
