"Census Region"	"Census Region Code"	"Census Division"	"Census Division Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	127813	17345093	736.9
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	149795	16777368	892.8
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	32520	3544802	917.4
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Middlesex County, CT"	"09007"	26698	3085908	865.2
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	145710	16150183	902.2
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"New London County, CT"	"09011"	43280	5115590	846.0
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Tolland County, CT"	"09013"	17928	2808222	638.4
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Connecticut"	"09"	"Windham County, CT"	"09015"	18894	2189318	863.0
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Androscoggin County, ME"	"23001"	19991	2028619	985.4
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Aroostook County, ME"	"23003"	16057	1361153	1179.7
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Cumberland County, ME"	"23005"	46575	5306985	877.6
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Franklin County, ME"	"23007"	5623	574305	979.1
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Hancock County, ME"	"23009"	10754	1021868	1052.4
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Kennebec County, ME"	"23011"	23136	2289291	1010.6
	"Census Region 1: Northeast"	"CENS-R1"	"Division 1: New England"	"CENS-D1"	"Maine"	"23"	"Knox County, ME"	"23013"	8463	759131	1114.8
