fips,2006,2007,2008,2009,2010,2011,2012
1001,44.0,49.0,52.0,62.0,59.0,65.0,68.0
1003,37.0,44.0,49.0,56.0,61.0,68.0,78.0
1005,29.0,34.0,36.0,37.0,45.0,50.0,52.0
1007,34.0,38.0,46.0,47.0,49.0,57.0,56.0
1009,23.0,25.0,26.0,29.0,31.0,36.0,38.0
1011,10.0,12.0,17.0,24.0,32.0,38.0,38.0
1013,32.0,40.0,46.0,53.0,54.0,68.0,67.0
1015,46.0,53.0,56.0,63.0,63.0,71.0,78.0
1017,41.0,42.0,50.0,53.0,59.0,71.0,70.0
1019,47.0,58.0,61.0,74.0,73.0,80.0,83.0
1021,35.0,40.0,43.0,48.0,49.0,56.0,62.0
1023,38.0,43.0,46.0,46.0,54.0,66.0,80.0
1025,28.0,38.0,39.0,44.0,51.0,63.0,71.0
1027,31.0,39.0,46.0,48.0,43.0,55.0,64.0
1029,17.0,18.0,18.0,23.0,23.0,26.0,29.0
1031,36.0,38.0,42.0,46.0,51.0,57.0,56.0
1033,69.0,74.0,82.0,84.0,87.0,97.0,101.0
1035,40.0,53.0,60.0,70.0,72.0,80.0,94.0
1037,9.0,13.0,13.0,17.0,19.0,19.0,19.0
1039,49.0,58.0,62.0,67.0,78.0,82.0,83.0
1041,23.0,27.0,31.0,37.0,38.0,40.0,45.0
1043,45.0,53.0,57.0,60.0,66.0,75.0,75.0
1045,24.0,27.0,30.0,37.0,44.0,46.0,45.0
1047,22.0,30.0,38.0,35.0,30.0,33.0,36.0
1049,32.0,38.0,42.0,49.0,53.0,61.0,68.0
1051,25.0,32.0,36.0,41.0,43.0,54.0,60.0
1053,42.0,44.0,52.0,58.0,73.0,74.0,73.0
1055,55.0,60.0,69.0,75.0,80.0,91.0,97.0
1057,28.0,33.0,38.0,37.0,40.0,48.0,54.0
1059,65.0,74.0,84.0,86.0,94.0,110.0,116.0
1061,37.0,34.0,37.0,45.0,42.0,47.0,49.0
1063,5.0,9.0,11.0,12.0,13.0,23.0,21.0
1065,16.0,22.0,24.0,21.0,29.0,35.0,38.0
1067,19.0,24.0,26.0,27.0,27.0,31.0,35.0
1069,40.0,46.0,49.0,53.0,62.0,64.0,63.0
1071,60.0,65.0,64.0,79.0,82.0,87.0,87.0
1073,40.0,44.0,48.0,52.0,57.0,65.0,67.0
